run_date,sector,league,code,name,exc1,exc3,prox,a20,shD,score
2026-09-26,반도체와반도체장비,대장(깃발),036930,주성엔지니어링,-0.03361256581822791,0.14259486575347208,0.7402826855123675,248748665275.0,0.0034524621042337986,93
2026-09-26,반도체와반도체장비,대장(깃발),005930,삼성전자,-0.0905267973139755,-0.16457000402008076,0.7650200267022697,4381948134700.0,-0.0027060406072653698,73
2026-09-26,반도체와반도체장비,대장(깃발),042700,한미반도체,-0.08807141022152953,-0.10597969565003666,0.5704225352112676,151599846225.0,0.002682745698136247,67
2026-09-26,반도체와반도체장비,대장(깃발),000660,SK하이닉스,-0.0950624915580961,-0.28388667239422277,0.6237027117509206,5791063274300.0,-0.01787857217642408,37
2026-09-26,반도체와반도체장비,대장(깃발),402340,SK스퀘어,-0.09116184613564793,-0.3495038757500923,0.5395157606212883,528379718500.0,-0.007412414114870397,30
2026-09-26,반도체와반도체장비,선봉,036540,SFA반도체,0.6139643189018605,0.7127194913418333,0.9080756013745704,56275227164.5,0.003094247053767572,97
2026-09-26,반도체와반도체장비,선봉,031980,피에스케이홀딩스,0.14679988652446363,0.32192917334914956,0.9379310344827586,27705901005.0,0.0007190396460875824,80
2026-09-26,반도체와반도체장비,선봉,131290,티에스이,-0.044670219250749876,0.15233693761649642,0.9073783359497645,39724737725.0,0.0013246443034803399,76
2026-09-26,반도체와반도체장비,선봉,067310,하나마이크론,0.023410614723444856,-0.04846674228216101,0.7897435897435897,70531469765.0,0.0020195181802681456,74
2026-09-26,반도체와반도체장비,선봉,252990,샘씨엔에스,0.2106371713750842,0.46398783681749584,0.9810400866738895,11057979385.5,0.0003491702354645399,74
2026-09-26,반도체와반도체장비,선봉,039030,이오테크닉스,-0.011041307589159444,-0.0203681848586698,0.7696629213483146,53049298950.0,0.00130776482799337,67
2026-09-26,반도체와반도체장비,선봉,095340,ISC,0.0802286502745383,0.1095058686544252,0.7264957264957265,29258380745.0,0.00047935869965091147,64
2026-09-26,반도체와반도체장비,선봉,232140,와이씨,0.014345330126245392,0.09425160735690237,0.5908902691511387,39585976963.5,0.0022427741878374517,62
2026-09-26,반도체와반도체장비,선봉,007660,이수페타시스,-0.09025198504169663,0.10492431180569502,0.7250608272506083,70589270315.0,0.0011373316348617128,61
2026-09-26,반도체와반도체장비,선봉,000990,DB하이텍,0.2153991845781581,-0.14180646730357999,0.5713665943600867,75063667150.0,0.002799929576903624,58
2026-09-26,반도체와반도체장비,선봉,064760,티씨케이,-0.03347013942835464,0.09091952915616482,0.812051649928264,17135026275.0,0.00043645217893554416,57
2026-09-26,반도체와반도체장비,선봉,356860,티엘비,-0.048982040177869224,0.1349616127993029,0.6619039166962489,25790916887.5,0.0010026900660210951,55
2026-09-26,반도체와반도체장비,선봉,403870,HPSP,-0.05892103695455486,0.09283453359897527,0.6043478260869565,106146157650.0,0.0014542219247899654,54
2026-09-26,반도체와반도체장비,선봉,440110,파두,0.06062811248989852,-0.06275837467668792,0.6290571870170015,34201894820.0,0.0005889313899096853,47
2026-09-26,반도체와반도체장비,선봉,281820,케이씨텍,0.08950202528294049,0.06641294238677316,0.7003205128205128,13959328950.0,6.060496276314624e-05,47
2026-09-26,반도체와반도체장비,선봉,095610,테스,-0.040564588093025544,-0.009672003342344348,0.6845665961945032,56418212695.0,0.000469465438440648,44
2026-09-26,반도체와반도체장비,선봉,084370,유진테크,-0.03454578519034046,-0.005979695650036686,0.6989200863930886,20762927285.0,0.00012696540325784762,41
2026-09-26,반도체와반도체장비,선봉,240810,원익IPS,-0.026327927555026664,-0.12682962924897428,0.7050053248136315,112904698830.0,-0.00012955864370303716,37
2026-09-26,반도체와반도체장비,선봉,058470,리노공업,-0.09848786371585072,-0.13039284118994282,0.5782945736434109,48662012620.0,0.0010196516498779734,35
2026-09-26,반도체와반도체장비,선봉,183300,코미코,0.010903426684341855,-0.1706353481467881,0.5646982897708939,15255142410.0,0.0006182346880344929,34
