run_date,sector,league,code,name,exc1,exc3,prox,a20,shD,score
2026-08-29,건설,대장(깃발),006360,GS건설,0.25947905375282,0.30757959216829917,0.8283166109253066,105999270057.5,0.07248755789247341,100
2026-08-29,건설,대장(깃발),375500,DL이앤씨,-0.01508940783854218,-0.024181028746733488,0.6876172607879925,22389726760.0,-0.015517711850327166,57
2026-08-29,건설,대장(깃발),000720,현대건설,0.10969629226793098,-0.0707526606998448,0.6496975806451613,86380829770.0,0.009123320725308054,57
2026-08-29,건설,대장(깃발),028050,삼성E&A,-0.18752927533098074,-0.022705294095917858,0.7243684992570579,82338970787.5,-0.03494276557919418,50
2026-08-29,건설,대장(깃발),047040,대우건설,0.22415879172706732,-0.20867709305326815,0.4879801734820322,131057930082.0,-0.018413507426819575,37
2026-08-29,반도체와반도체장비,대장(깃발),005930,삼성전자,-0.11799732059434259,-0.007263964995893074,0.6862483311081442,6573927415000.0,0.053269748448029675,93
2026-08-29,반도체와반도체장비,대장(깃발),036930,주성엔지니어링,0.17221392126488316,-0.015360793042637683,0.6247349823321555,218583006405.0,-0.004294360069275818,77
2026-08-29,반도체와반도체장비,대장(깃발),042700,한미반도체,-0.040945358345525984,-0.11493344261528723,0.5152582159624414,138591765770.0,-0.002702728946539664,60
2026-08-29,반도체와반도체장비,대장(깃발),402340,SK스퀘어,-0.14119946476136197,-0.03431794744845815,0.46962083142987665,697329810850.0,-0.014117521491436143,37
2026-08-29,반도체와반도체장비,대장(깃발),000660,SK하이닉스,-0.17073970912463193,-0.1432113828198329,0.5533980582524272,7449121387350.0,-0.016023538324854758,33
2026-08-29,반도체와반도체장비,선봉,131290,티에스이,0.16367448481846986,0.2980538411037037,0.8112244897959183,28099092805.0,0.00044306896223297106,94
2026-08-29,반도체와반도체장비,선봉,064760,티씨케이,0.24151160097334307,0.0034916659737557476,0.6843615494978479,17019952845.0,0.0002521700482510448,81
2026-08-29,반도체와반도체장비,선봉,031980,피에스케이홀딩스,0.11223895323677507,0.2050491891320503,0.6942196531791908,19581449360.0,-0.00014902738628586975,80
2026-08-29,반도체와반도체장비,선봉,007660,이수페타시스,0.4118887705327556,0.01934508931030357,0.6861313868613139,67928549590.0,-0.00014946242626430548,76
2026-08-29,반도체와반도체장비,선봉,067310,하나마이크론,-0.024157195696137335,-0.052717114881718125,0.6042735042735042,63268251660.0,0.0003382753990849264,68
2026-08-29,반도체와반도체장비,선봉,039030,이오테크닉스,0.24979037695845835,-0.0428633730219978,0.6396468699839486,42426171075.0,-0.00035520344778149646,66
2026-08-29,반도체와반도체장비,선봉,095610,테스,-0.10214228808491727,0.3014421505387197,0.6033826638477802,51345264175.0,-0.0005103415899269485,58
2026-08-29,반도체와반도체장비,선봉,166090,하나머티리얼즈,-0.19329549789408712,-0.10743572099652818,0.5984072810011376,10441899595.0,0.00014683057324306774,57
2026-08-29,반도체와반도체장비,선봉,084370,유진테크,0.03368629119391259,0.16779263795196522,0.5788336933045356,20241452150.0,-0.0004005734068354397,55
2026-08-29,반도체와반도체장비,선봉,095340,ISC,0.21295955502328762,-0.051276286000384114,0.5928205128205128,24919893400.0,-0.00043417951217188696,54
2026-08-29,반도체와반도체장비,선봉,089030,테크윙,0.09997016588159274,0.10734875861428242,0.6743243243243243,28677511662.5,-0.002296020123701895,52
2026-08-29,반도체와반도체장비,선봉,281820,케이씨텍,-0.20848794179601154,0.14219207704799677,0.5344551282051282,12865071175.0,-0.00011207244031703008,49
2026-08-29,반도체와반도체장비,선봉,420770,기가비스,-0.15713296859767906,-0.02526897972970729,0.5330097087378641,13854026225.0,-1.6673367642601835e-05,48
