run_date,code,name,wics,metric,period,value
2026-08-08,005930,삼성전자,반도체와반도체장비,target_price,,493542.0
2026-08-08,005930,삼성전자,반도체와반도체장비,rev_e,2026/12,7378931.0
2026-08-08,005930,삼성전자,반도체와반도체장비,op_e,2026/12,3911296.0
2026-08-08,000660,SK하이닉스,반도체와반도체장비,target_price,,3322083.0
2026-08-08,000660,SK하이닉스,반도체와반도체장비,rev_e,2026/12,3456048.0
2026-08-08,000660,SK하이닉스,반도체와반도체장비,op_e,2026/12,2663757.0
2026-08-08,402340,SK스퀘어,반도체와반도체장비,target_price,,1900000.0
2026-08-08,402340,SK스퀘어,반도체와반도체장비,rev_e,2026/12,73622.0
2026-08-08,402340,SK스퀘어,반도체와반도체장비,op_e,2026/12,434130.0
2026-08-08,009150,삼성전기,전자장비와기기,target_price,,2350500.0
2026-08-08,009150,삼성전기,전자장비와기기,rev_e,2026/12,143144.0
2026-08-08,009150,삼성전기,전자장비와기기,op_e,2026/12,19264.0
2026-08-08,373220,LG에너지솔루션,전기제품,target_price,,509526.0
2026-08-08,373220,LG에너지솔루션,전기제품,rev_e,2026/12,322163.0
2026-08-08,373220,LG에너지솔루션,전기제품,op_e,2026/12,8254.0
2026-08-08,005380,현대차,자동차,target_price,,724000.0
2026-08-08,005380,현대차,자동차,rev_e,2026/12,1943865.0
2026-08-08,005380,현대차,자동차,op_e,2026/12,115690.0
2026-08-08,207940,삼성바이오로직스,제약,target_price,,2011429.0
2026-08-08,207940,삼성바이오로직스,제약,rev_e,2026/12,54951.0
2026-08-08,207940,삼성바이오로직스,제약,op_e,2026/12,24162.0
2026-08-08,105560,KB금융,은행,target_price,,224889.0
2026-08-08,105560,KB금융,은행,op_e,2026/12,94214.0
2026-08-08,012450,한화에어로스페이스,우주항공과국방,target_price,,1628235.0
2026-08-08,012450,한화에어로스페이스,우주항공과국방,rev_e,2026/12,321128.0
2026-08-08,012450,한화에어로스페이스,우주항공과국방,op_e,2026/12,45972.0
2026-08-08,032830,삼성생명,생명보험,target_price,,416808.0
2026-08-08,032830,삼성생명,생명보험,op_e,2026/12,33472.0
2026-08-08,028260,삼성물산,복합기업,target_price,,496667.0
2026-08-08,028260,삼성물산,복합기업,rev_e,2026/12,454409.0
2026-08-08,028260,삼성물산,복합기업,op_e,2026/12,37964.0
2026-08-08,329180,HD현대중공업,조선,target_price,,865619.0
2026-08-08,329180,HD현대중공업,조선,rev_e,2026/12,249218.0
2026-08-08,329180,HD현대중공업,조선,op_e,2026/12,40239.0
2026-08-08,000270,기아,자동차,target_price,,217800.0
2026-08-08,000270,기아,자동차,rev_e,2026/12,1257609.0
2026-08-08,000270,기아,자동차,op_e,2026/12,102340.0
2026-08-08,055550,신한지주,은행,target_price,,137000.0
2026-08-08,055550,신한지주,은행,op_e,2026/12,80830.0
2026-08-08,034020,두산에너빌리티,기계,target_price,,129375.0
2026-08-08,034020,두산에너빌리티,기계,rev_e,2026/12,183387.0
2026-08-08,034020,두산에너빌리티,기계,op_e,2026/12,11302.0
2026-08-08,068270,셀트리온,제약,target_price,,275340.0
2026-08-08,068270,셀트리온,제약,rev_e,2026/12,55356.0
2026-08-08,068270,셀트리온,제약,op_e,2026/12,18537.0
2026-08-08,012330,현대모비스,자동차부품,target_price,,737200.0
2026-08-08,012330,현대모비스,자동차부품,rev_e,2026/12,650332.0
2026-08-08,012330,현대모비스,자동차부품,op_e,2026/12,37830.0
2026-08-08,006400,삼성SDI,전기제품,target_price,,694842.0
2026-08-08,006400,삼성SDI,전기제품,rev_e,2026/12,159313.0
2026-08-08,006400,삼성SDI,전기제품,op_e,2026/12,3231.0
2026-08-08,086790,하나금융지주,은행,target_price,,164737.0
2026-08-08,086790,하나금융지주,은행,op_e,2026/12,59861.0
2026-08-08,034730,SK,석유와가스,target_price,,853692.0
2026-08-08,034730,SK,석유와가스,rev_e,2026/12,1418951.0
2026-08-08,034730,SK,석유와가스,op_e,2026/12,98678.0
2026-08-08,035420,NAVER,양방향미디어와서비스,target_price,,331650.0
2026-08-08,035420,NAVER,양방향미디어와서비스,rev_e,2026/12,137567.0
2026-08-08,035420,NAVER,양방향미디어와서비스,op_e,2026/12,23588.0
2026-08-08,010120,LS ELECTRIC,전기장비,target_price,,300000.0
2026-08-08,010120,LS ELECTRIC,전기장비,rev_e,2026/12,64979.0
2026-08-08,010120,LS ELECTRIC,전기장비,op_e,2026/12,7165.0
2026-08-08,066570,LG전자,전자제품,target_price,,230000.0
2026-08-08,066570,LG전자,전자제품,rev_e,2026/12,963011.0
2026-08-08,066570,LG전자,전자제품,op_e,2026/12,45778.0
2026-08-08,000810,삼성화재,손해보험,target_price,,736667.0
2026-08-08,000810,삼성화재,손해보험,op_e,2026/12,30987.0
2026-08-08,009540,HD한국조선해양,조선,target_price,,555667.0
2026-08-08,009540,HD한국조선해양,조선,rev_e,2026/12,344746.0
2026-08-08,009540,HD한국조선해양,조선,op_e,2026/12,60493.0
2026-08-08,267260,HD현대일렉트릭,전기장비,target_price,,1193929.0
2026-08-08,267260,HD현대일렉트릭,전기장비,rev_e,2026/12,47017.0
2026-08-08,267260,HD현대일렉트릭,전기장비,op_e,2026/12,12313.0
2026-08-08,042660,한화오션,조선,target_price,,141050.0
2026-08-08,042660,한화오션,조선,rev_e,2026/12,158201.0
2026-08-08,042660,한화오션,조선,op_e,2026/12,22530.0
2026-08-08,298040,효성중공업,전기장비,target_price,,4235385.0
2026-08-08,298040,효성중공업,전기장비,rev_e,2026/12,71926.0
2026-08-08,298040,효성중공업,전기장비,op_e,2026/12,11175.0
2026-08-08,005490,POSCO홀딩스,철강,target_price,,511412.0
2026-08-08,005490,POSCO홀딩스,철강,rev_e,2026/12,735681.0
2026-08-08,005490,POSCO홀딩스,철강,op_e,2026/12,30976.0
2026-08-08,316140,우리금융지주,은행,target_price,,43778.0
2026-08-08,316140,우리금융지주,은행,op_e,2026/12,43798.0
2026-08-08,010130,고려아연,비철금속,target_price,,1689500.0
2026-08-08,010130,고려아연,비철금속,rev_e,2026/12,238446.0
2026-08-08,010130,고려아연,비철금속,op_e,2026/12,22996.0
2026-08-08,015760,한국전력,전기유틸리티,target_price,,55133.0
2026-08-08,015760,한국전력,전기유틸리티,rev_e,2026/12,983286.0
2026-08-08,015760,한국전력,전기유틸리티,op_e,2026/12,97891.0
2026-08-08,138040,메리츠금융지주,증권,target_price,,148250.0
2026-08-08,138040,메리츠금융지주,증권,op_e,2026/12,31481.0
2026-08-08,011200,HMM,해운사,target_price,,23100.0
2026-08-08,011200,HMM,해운사,rev_e,2026/12,121925.0
2026-08-08,011200,HMM,해운사,op_e,2026/12,14633.0
2026-08-08,096770,SK이노베이션,석유와가스,target_price,,179714.0
2026-08-08,096770,SK이노베이션,석유와가스,rev_e,2026/12,1031685.0
2026-08-08,096770,SK이노베이션,석유와가스,op_e,2026/12,80330.0
2026-08-08,033780,KT&G,담배,target_price,,232857.0
2026-08-08,033780,KT&G,담배,rev_e,2026/12,69809.0
2026-08-08,033780,KT&G,담배,op_e,2026/12,15310.0
2026-08-08,051910,LG화학,화학,target_price,,383769.0
2026-08-08,051910,LG화학,화학,rev_e,2026/12,562410.0
2026-08-08,051910,LG화학,화학,op_e,2026/12,13021.0
2026-08-08,010140,삼성중공업,조선,target_price,,38750.0
2026-08-08,010140,삼성중공업,조선,rev_e,2026/12,128152.0
2026-08-08,010140,삼성중공업,조선,op_e,2026/12,13875.0
2026-08-08,000150,두산,복합기업,target_price,,2115833.0
2026-08-08,000150,두산,복합기업,rev_e,2026/12,218424.0
2026-08-08,000150,두산,복합기업,op_e,2026/12,18125.0
2026-08-08,006800,미래에셋증권,증권,target_price,,65313.0
2026-08-08,006800,미래에셋증권,증권,rev_e,2026/12,412959.0
2026-08-08,006800,미래에셋증권,증권,op_e,2026/12,42638.0
2026-08-08,017670,SK텔레콤,무선통신서비스,target_price,,119368.0
2026-08-08,017670,SK텔레콤,무선통신서비스,rev_e,2026/12,176624.0
2026-08-08,017670,SK텔레콤,무선통신서비스,op_e,2026/12,19586.0
2026-08-08,042700,한미반도체,반도체와반도체장비,target_price,,380000.0
2026-08-08,042700,한미반도체,반도체와반도체장비,rev_e,2026/12,8196.0
2026-08-08,042700,한미반도체,반도체와반도체장비,op_e,2026/12,3822.0
2026-08-08,267250,HD현대,조선,target_price,,328333.0
2026-08-08,267250,HD현대,조선,rev_e,2026/12,828951.0
2026-08-08,267250,HD현대,조선,op_e,2026/12,111918.0
2026-08-08,035720,카카오,양방향미디어와서비스,target_price,,63000.0
2026-08-08,035720,카카오,양방향미디어와서비스,rev_e,2026/12,83360.0
2026-08-08,035720,카카오,양방향미디어와서비스,op_e,2026/12,10126.0
2026-08-08,018260,삼성에스디에스,IT서비스,target_price,,258692.0
2026-08-08,018260,삼성에스디에스,IT서비스,rev_e,2026/12,144090.0
2026-08-08,018260,삼성에스디에스,IT서비스,op_e,2026/12,8304.0
2026-08-08,024110,기업은행,은행,target_price,,27333.0
2026-08-08,024110,기업은행,은행,op_e,2026/12,37023.0
2026-08-08,003550,LG,복합기업,target_price,,140692.0
2026-08-08,003550,LG,복합기업,rev_e,2026/12,81604.0
2026-08-08,003550,LG,복합기업,op_e,2026/12,16388.0
2026-08-08,196170,알테오젠,생물공학,target_price,,447745.0
2026-08-08,196170,알테오젠,생물공학,rev_e,2026/12,4192.0
2026-08-08,196170,알테오젠,생물공학,op_e,2026/12,2574.0
2026-08-08,079550,LIG디펜스앤에어로스페이스,우주항공과국방,target_price,,1131765.0
2026-08-08,079550,LIG디펜스앤에어로스페이스,우주항공과국방,rev_e,2026/12,51402.0
2026-08-08,079550,LIG디펜스앤에어로스페이스,우주항공과국방,op_e,2026/12,4563.0
2026-08-08,064350,현대로템,우주항공과국방,target_price,,279059.0
2026-08-08,064350,현대로템,우주항공과국방,rev_e,2026/12,68416.0
2026-08-08,064350,현대로템,우주항공과국방,op_e,2026/12,10909.0
2026-08-08,086280,현대글로비스,항공화물운송과물류,target_price,,322750.0
2026-08-08,086280,현대글로비스,항공화물운송과물류,rev_e,2026/12,331671.0
2026-08-08,086280,현대글로비스,항공화물운송과물류,op_e,2026/12,21493.0
